@relation climate-change-7

@attribute 'Country name' {Aruba,Andorra,Afghanistan,Angola,Albania,'United Arab Emirates',Argentina,Armenia,'American Samoa','Antigua and Barbuda',Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,'Burkina Faso',Bangladesh,Bulgaria,Bahrain,Bahamas,'Bosnia and Herzegovina',Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,'Brunei Darussalam',Bhutan,Botswana,'Central African Republic',Canada,Switzerland,'Channel Islands',Chile,China,'Cote d Ivoire',Cameroon,Congo,'Cook Islands',Colombia,Comoros,'Cape Verde','Costa Rica',Cuba,Curacao,'Cayman Islands',Cyprus,'Czech Republic',Germany,Djibouti,Dominica,Denmark,'Dominican Republic',Algeria,'East Asia & Pacific','Europe & Central Asia',Ecuador,Egypt,'Euro area',Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,'Faeroe Islands',Micronesia,Gabon,'United Kingdom',Georgia,Ghana,Gibraltar,Guinea,Gambia,Guinea-Bissau,'Equatorial Guinea',Greece,Grenada,Greenland,Guatemala,Guam,Guyana,'High income','Hong Kong',Honduras,Croatia,Haiti,Hungary,Indonesia,'Isle of Man',India,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,'Kyrgyz Republic',Cambodia,Kiribati,'St. Kitts and Nevis',Korea,Kosovo,Kuwait,'Latin America & Caribbean','Lao PDR',Lebanon,Liberia,Libya,'St. Lucia','Low income',Liechtenstein,'Sri Lanka','Lower middle income','Low & middle income',Lesotho,Lithuania,Luxembourg,Latvia,Macao,'St. Martin (French part)',Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,'Marshall Islands','Middle income',Macedonia,Mali,Malta,Myanmar,'Middle East & North Africa',Montenegro,Mongolia,'Northern Mariana Islands',Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Mayotte,Namibia,'New Caledonia',Niger,Nigeria,Nicaragua,Niue,Netherlands,Norway,Nepal,Nauru,'New Zealand',Oman,Pakistan,Panama,Peru,Philippines,Palau,'Papua New Guinea',Poland,'Puerto Rico',Portugal,Paraguay,'French Polynesia',Qatar,Romania,'Russian Federation',Rwanda,'South Asia','Saudi Arabia',Sudan,Senegal,Singapore,'Small island developing states','Solomon Islands','Sierra Leone','El Salvador','San Marino',Somalia,Serbia,'Sub-Saharan Africa','Sao Tome and Principe',Suriname,'Slovak Republic',Slovenia,Sweden,Swaziland,'Sint Maarten (Dutch part)',Seychelles,'Syrian Arab Republic','Turks and Caicos Islands',Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,'Trinidad and Tobago',Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,'Upper middle income',Uruguay,'United States',Uzbekistan,'St. Vincent and the Grenadines',Venezuela,'Virgin Islands (U.S.)',Vietnam,Vanuatu,'West Bank and Gaza',World,Samoa,Yemen,'South Africa','Dem. Rep. Congo',Zambia,Zimbabwe}
@attribute 'Agricultural land under irrigation (percent of total ag. land)' numeric
@attribute 'Cereal yield (kg per hectare)' numeric
@attribute 'Foreign direct investment net inflows (percent of GDP)' numeric
@attribute 'Energy use per units of GDP (kg oil eq./$1000 of 2005 PPP $)' numeric
@attribute 'Energy use per capita (kilograms of oil equivalent)' numeric
@attribute 'CO2 emissions total (KtCO2)' numeric
@attribute 'CO2 emissions per capita (metric tons)' numeric
@attribute 'CO2 emissions per units of GDP (kg/$1000 of 2005 PPP $)' numeric
@attribute 'GHG net emissions/removals by LUCF (MtCO2e)' numeric
@attribute 'Population in urban agglomerations >1million (percent)' numeric
@attribute 'Nationally terrestrial protected areas (percent of total land area)' numeric
@attribute 'Invest. in energy w/ private participation ($)' numeric
@attribute 'Invest. in telecoms w/ private participation ($)' numeric
@attribute 'Invest. in transport w/ private participation ($)' numeric
@attribute 'Invest. in water/sanit. w/ private participation ($)' numeric
@attribute 'Public sector mgmt & institutions avg. (1-6 scale; 6=best)' numeric
@attribute 'Paved roads (percent of total roads)' numeric
@attribute 'GDP ($)' numeric
@attribute 'GNI per capita (Atlas $)' numeric
@attribute 'Ratio of girls to boys in primary & secondary school (percent)' numeric
@attribute 'Primary completion rate total (percent of relevant age group)' numeric
@attribute 'Under-five mortality rate (per 1000)' numeric
@attribute 'Access to improved water source (percent of total pop.)' numeric
@attribute 'Nurses and midwives (per 1000 people)' numeric
@attribute 'Physicians (per 1000 people)' numeric
@attribute 'Malaria incidence rate (per 100000 people)' numeric
@attribute 'Access to improved sanitation (percent of total pop.)' numeric
@attribute 'Child malnutrition underweight (percent of under age 5)' numeric
@attribute 'Population living below $1.25 a day (percent of total)' numeric
@attribute 'Population growth (annual percent)' numeric
@attribute Population numeric
@attribute 'Urban population growth (annual percent)' numeric
@attribute 'Urban population' numeric

@data
Gibraltar,?,?,?,?,5420.527879,421.705,14.399051,?,?,?,4.677824,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.030726,29287,?,?
Guinea,?,1677.7,10.107298,?,?,1393.46,0.145773,145.039398,?,16.170313,6.778805,?,89200000,?,?,2.6,?,3778260000,350,77.066,54.7133,138.4,71,?,?,40585,19,20.8,?,1.959537,9559110,3.363069,3292157.484
Gambia,?,976.5,9.564824,?,?,410.704,0.251025,209.373237,?,?,1.532912,?,0,?,?,2.9,?,821917808.219178,410,101.241,79.06152,103.8,92,0.57,0.038,31925,67,?,?,2.773253,1636107,4.273281,923091.5694
Guinea-Bissau,?,1427.3,0.60729,?,?,282.359,0.194227,186.630475,?,?,16.057116,?,24700000,?,?,2.6,?,846854479.422026,500,?,?,154.2,61,0.55,0.045,34043,21,?,?,2.054731,1453757,2.323187,433801.0888
'Equatorial Guinea',?,?,-4.309044,?,?,4814.771,7.269477,234.588238,?,?,19.164039,?,?,?,?,?,?,18423399315.2788,14410,?,43.32615,127.3,?,?,?,27726,?,?,?,2.816005,662327,3.22313,260824.3726
Greece,17.268198,4404,1.52822,100.636827,2707.107549,97813.558,8.704524,323.591024,-3.079269,28.89708,13.833928,?,?,?,?,?,?,347042265250.668032,27810,?,?,4.6,100,3.66,6.043,?,98,?,?,0.395286,11237094,0.723694,6854627.34
Grenada,0,931,20.964262,?,?,245.689,2.368703,290.198509,?,?,1.661471,8600000,0,?,?,3.7,?,678487940.517032,5860,93.194,114.37653,11.9,?,?,?,?,97,?,?,0.342845,103723,0.602585,31988.1732
Greenland,?,?,?,?,?,575.719,10.220832,?,?,?,40.494613,?,?,?,?,?,?,1739579593.56673,30010,?,?,?,?,?,?,?,?,?,?,-0.401379,56328,-0.114417,47045.1456
Guatemala,?,2257.8,1.92609,137.275932,599.207967,11914.083,0.870223,199.364192,?,7.656788,30.628887,?,525000000,?,6700000,?,?,39136286496.2176,2640,93.778,80.0144,34.6,94,?,?,184,81,?,?,2.454895,13690846,3.406298,6651012.9868
Guam,?,3000,?,?,?,?,?,?,?,?,26.389421,?,?,?,?,?,?,?,?,?,?,?,100,?,?,?,99,?,?,1.263517,175538,1.284988,163531.2008
Guyana,?,4161.2,8.738164,?,?,1525.472,2.029692,780.181388,?,?,4.938496,?,0,?,?,3.1,?,1922600611.44269,2730,99.615,109.72616,33,94,?,?,2194,81,?,?,0.201113,751578,0.412753,213297.8364
'High income',?,5226.736769,2.855857,150.656988,5097.544945,13284694.507571,11.940689,354.415392,?,?,13.375123,?,?,?,?,?,87.279999,4.40914339653247E13,38503.801226,99.318,97.093855,6.736686,99.55752,?,?,?,99.520992,?,?,0.789626,1112556749,1.088834,839880413.4368
'Hong Kong',?,?,27.680519,49.933018,2026.239305,38573.173,5.528064,136.229182,?,100,41.790708,?,?,?,?,?,100,215365875584.321984,32950,101.488,91.98462,?,?,?,?,?,?,?,?,0.745134,6977700,0.745134,6977700
Honduras,?,1750.7,6.443965,173.259937,629.952968,8672.455,1.187561,326.622518,?,13.329254,18.17457,?,334000000,?,?,3.4,?,13969292165.0345,1780,107.286,89.72504,26.1,86,?,?,335,71,?,?,1.990487,7302742,2.955867,3496552.8696
Croatia,?,6641.3,8.615627,118.309709,2048.755977,23303.785,5.255703,303.50156,-8.643111,?,7.301322,85000000,634000000,?,?,?,86.88,69911233237.787,13720,102.206,99.70618,6,99,?,2.661179,?,99,0.6,0.06,-0.045096,4434000,0.409848,2539795.2
Haiti,?,961,0.465065,272.10315,284.842588,2434.888,0.250083,238.897861,?,25.841878,0.268058,?,0,?,?,2.4,?,6407707284.45521,620,?,?,82.9,63,?,?,1891,17,?,?,1.322122,9736332,4.312594,4560497.9088
Hungary,1.381693,5665,46.484306,151.109238,2635.705169,54638.3,5.443044,312.058518,-3.933389,16.966409,5.116318,?,?,?,?,?,37.65,155443541077.614976,13010,98.39,95.42391,7.1,100,6.33,3.097,?,100,?,?,-0.175097,10038188,0.419258,6775776.9
Indonesia,?,4694.2,1.826336,228.682482,816.352794,406028.575,1.72814,484.098826,?,8.858357,14.111434,2863200000,2876000000,?,0,?,59.106495,510226662255.497984,1950,98.036,106.39789,38.5,80,?,?,1645,52,?,?,1.065196,234951154,3.265678,120905863.8484
'Isle of Man',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.73006,81798,0.494304,41586.1032
India,34.659559,2672.6,3.576116,195.293836,543.020424,1742697.746,1.528729,549.797739,?,12.591436,5.33466,12889380000,9933800000,5423650000,75900000,3.7,49.340659,1213782569748.829952,1080,?,94.83933,66.8,88,?,?,1124,31,?,?,1.340382,1139964931.64188,2.29277,336745640.807011
Ireland,?,7597.4,-6.196987,86.436235,3367.080064,43604.297,9.852558,252.924782,-2.357432,24.197305,0.954739,?,?,?,?,?,100,263652850517.450016,49940,102.842,?,4.4,100,?,3.187,?,99,?,?,1.565671,4425683,2.023188,2714713.9522
Iran,19.020996,1897.1,0.477679,275.321771,2862.745825,538403.608,7.447903,716.294737,?,24.255939,7.079823,?,802000000,?,?,?,?,338187289004.755008,4100,?,97.05721,28.5,?,?,?,18,?,?,?,1.188108,72289291,1.950575,49489248.6186
Iraq,?,733.7,2.144572,352.914083,1138.90431,102936.357,3.41094,1056.953518,?,23.108544,0.05335,?,284000000,?,?,?,?,86530068728.522288,2100,?,?,39.5,79,?,?,0,73,?,?,3.0236,30178292.147128,2.828753,20098742.569987
Iceland,?,?,7.160503,451.029823,16541.775095,2229.536,7.024063,191.518865,0.718256,?,9.650906,?,?,?,?,?,36.641631,16863767020.3041,46950,101.882,94.61738,2.6,100,16.48,3.934,?,100,?,?,1.859572,317414,1.881252,292846.1564
Israel,?,2442.9,5.380516,118.602996,3052.841506,37663.757,5.153207,200.202254,?,57.24829,18.742815,?,?,?,?,?,100,202101449275.361984,24700,101.369,99.14138,4.9,100,?,?,?,100,?,?,1.776579,7308800,1.798401,6699246.08
Italy,?,5353,-0.413175,104.465985,2942.621896,445118.795,7.439455,264.108,-92.827818,17.106561,9.909226,?,?,?,?,?,?,2296497394246.160128,35360,99.086,104.00944,4,100,?,4.242,?,?,?,?,0.76655,59832179,1.001844,40733747.4632
Jamaica,?,1253.4,10.173026,216.668554,1591.112682,12203.776,4.541447,618.428058,?,?,18.887774,?,7500000,?,?,?,?,14121426276.6738,4880,100.082,?,25.1,94,?,?,?,83,?,?,0.425136,2687200,0.801076,1432277.6
Jordan,9.465021,943.6,12.454319,238.908433,1220.268533,21382.277,3.694881,723.396722,?,18.531312,9.411698,104000000,90300000,?,?,?,100,22696902203.5919,3670,102.169,98.77776,23.1,96,?,?,?,98,?,?,2.183684,5787000,2.234704,4538165.4
Japan,35.090752,6262.6,0.503125,123.947255,3880.451018,1208162.823,9.460647,302.186835,-78.318295,48.983316,16.304645,?,?,?,?,?,?,4879861453767.940096,38000,100.055,?,3.4,100,?,?,?,100,?,?,-0.052224,127704040,0.18874,84897645.792
Kazakhstan,?,1012.2,10.732605,421.99232,4417.761224,236954.206,15.117661,1444.065576,?,8.526822,2.520935,0,1062600000,?,?,?,89.88,133441571813.622,6140,98.914,104.25219,35.1,95,?,3.7,?,97,?,?,1.218359,15673999,1.702789,9081515.0206
Kenya,0.033088,1416.6,0.318286,321.601101,463.317029,10392.278,0.270242,187.582571,?,8.398889,11.610531,205000000,1199800000,?,?,3.3,?,30031427402.5555,740,95.881,?,89.3,59,?,?,30307,31,?,?,2.555218,38455418,3.953842,8306370.288
'Kyrgyz Republic',9.303626,2380.2,7.334538,253.763198,518.335323,6208.231,1.176269,575.870119,?,?,6.941745,?,75000000,?,?,3,?,5139957784.91084,770,100.48,92.10039,40.3,90,?,?,0,93,?,?,0.819965,5277900,1.261955,1914822.12
Cambodia,?,2804.7,7.874746,197.919382,375.678416,4602.085,0.332938,175.402426,?,10.686284,23.979287,47100000,37000000,?,?,2.7,?,10351829065.6013,660,?,79.47861,58.5,61,0.79,0.227,1798,29,28.8,?,1.111493,13822644,4.029347,2980162.0464
Kiribati,?,?,2.010645,?,?,29.336,0.303899,134.589814,?,?,22.036644,?,?,?,?,3.1,?,132506609.311134,1960,107.043,?,51.5,?,?,?,?,?,?,?,1.554514,96532,1.737162,42319.6288
'St. Kitts and Nevis',0,?,31.203879,?,?,249.356,4.879574,350.542382,?,?,3.564142,?,0,?,?,?,?,570140740.740741,10790,103.267,86.74157,9.1,99,?,?,?,96,?,?,1.274179,51102,1.398018,16516.1664
Korea,?,7072.8,0.355453,182.976758,4669.006398,509170.284,10.475246,410.521297,?,48.066295,2.397595,?,?,?,?,?,78.5,931402204981.62496,21580,97.175,98.69321,5.1,98,5.29,1.967,8,100,?,?,0.311138,48607000,0.581575,39595262.2
Kosovo,?,?,9.51494,?,?,?,?,?,?,?,?,?,64000000,?,?,?,?,5641557748.48184,3000,?,?,?,?,?,?,?,?,?,?,0.558661,1795000,?,?
Kuwait,?,2913.7,-0.004,?,10935.065068,76742.976,30.114759,?,?,84.32245,1.586372,?,?,?,?,?,?,148782683750.763008,?,101.128,?,11.3,99,?,?,?,100,2.3,?,4.024947,2548351,4.045282,2506558.0436
'Latin America & Caribbean',?,3634.790239,3.007336,130.671991,1281.429364,1584103.663,2.781351,285.550669,?,34.829121,20.832255,11104520000,23162100000,12858280000,?,?,28.125,4321484146174.309888,6837.248808,101.84,101.161611,23.268149,93.390297,?,?,205.896142,79.392272,?,?,1.161457,569544686.560104,1.626902,447597471.947933
'Lao PDR',?,3803.2,4.143061,?,?,1532.806,0.254534,125.282261,?,?,16.317041,665000000,0,?,?,2.9,13.54,5497625802.65092,760,87.222,74.70247,60.1,57,?,?,327,53,?,33.88,1.516185,6022001,5.345036,1859593.9088
Lebanon,?,2683.4,14.405262,117.828452,1298.085994,17099.221,4.103568,372.48466,?,45.090913,0.477329,?,0,?,?,?,?,30079601990.0498,7040,103.321,86.60485,23.5,100,?,?,?,?,?,?,0.771958,4166915,0.910048,3623549.284
Liberia,?,1553.4,46.828803,?,?,608.722,0.166387,447.720153,?,?,18.141897,?,22300000,?,?,?,?,842507277.559803,180,?,57.6253,113.6,68,0.27,0.014,29994,17,?,?,5.081578,3658460,6.218714,2200197.844
Libya,?,621.9,4.412795,204.020757,3125.961279,58330.969,9.485296,619.072725,?,17.633415,0.111254,?,?,?,?,?,?,93167701863.354,12670,?,?,18.5,?,?,?,?,97,?,?,2.079602,6149620,2.31201,4768415.348
'St. Lucia',?,?,16.348758,?,?,396.036,2.326824,253.735905,?,?,14.263021,10500000,0,?,?,3.9,?,986073137.020437,5430,100.134,97.50152,16.2,98,?,?,?,?,?,?,1.102715,170204.560104,1.390485,47384.949533
'Low income',?,1969.961282,3.166631,308.075951,363.51981,219121.585,0.286805,270.214718,?,10.806391,10.585734,?,5241750000,?,?,?,14.12,363879925992.953984,441.691208,90.474,61.929651,112.539957,63.112461,?,?,16658.534497,35.470393,?,?,2.066545,764009535.318807,3.639263,209721993.135241
Liechtenstein,?,?,?,?,?,?,?,?,-0.00612,?,42.441193,?,?,?,?,?,?,4929414914.73469,119330,102.832,97.03872,2.1,?,?,?,?,?,?,?,0.720474,35521,0.302355,5086.6072
'Sri Lanka',?,3595.3,1.847465,105.620457,438.30991,11763.736,0.574575,138.456575,?,?,20.769215,?,300400000,?,?,3.3,?,40715249699.9908,1750,?,98.37907,17.6,90,?,?,21,91,?,?,0.989208,20473799,0.989208,3091543.649
'Lower middle income',?,2749.790274,3.662098,223.485381,670.115265,3743902.664488,1.5655,523.861386,?,13.828827,9.52576,19549980000,29268050000,9852950000,?,?,29.26,3498553541378.370048,1396.561456,92.349,87.923393,73.122768,84.32337,?,?,4873.826843,45.438994,?,?,1.526591,2391505688.71652,2.707619,925397049.582697
'Low & middle income',?,3086.359853,3.683575,228.363836,1165.140799,16822433.218528,3.017899,612.459326,?,16.974286,12.17675,53952130000,77152300000,25243340000,?,?,29.28,1.71773320767482E13,2781.049621,95.651,86.864801,66.506073,84.363272,?,?,4665.096451,53.594465,?,?,1.23551,5574219257.59544,2.359132,2491564066.31687
Lesotho,?,390,6.87255,?,?,?,?,?,?,?,0.485478,?,9300000,?,?,3.4,?,1600614922.77151,1040,105.054,69.4536,99.1,85,?,?,?,29,?,?,1.005503,2127412,3.874225,541639.0952
Lithuania,?,3348.2,4.380247,155.145795,2733.094013,15130.042,4.505516,255.75846,-3.958244,?,4.458784,162600000,103000000,?,?,?,28.6,47252926428.6698,11910,99.547,92.16383,7.5,?,7.32,3.664,?,?,?,0.16,-0.519861,3358115,-0.340489,2248593.804
Luxembourg,?,6106.4,171.663958,115.972479,8564.446946,10502.288,21.492455,291.0326,-0.272339,?,19.794472,?,?,?,?,?,?,58071556743.692104,82210,102.355,83.672794,3.4,100,?,?,?,100,?,?,1.787497,488650,1.642042,402843.06
Latvia,?,3104.3,4.031558,126.331464,1978.593562,7590.69,3.34968,213.874138,-22.743399,?,17.80787,48000000,125000000,?,?,?,100,33669367720.4659,12020,100.03,95.0592,10.6,99,?,?,?,78,?,?,-0.440581,2266094,-0.381844,1543663.2328
Macao,?,?,14.209129,?,?,1334.788,2.57451,46.026212,?,?,?,?,?,?,?,?,100,21564640135.8585,39160,95.178,101.28383,?,?,?,?,?,?,?,?,2.490726,518463,2.490726,518463
'St. Martin (French part)',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.616342,29376,?,?
Morocco,4.429472,1002.4,2.774759,118.442437,478.012913,47905.688,1.529485,378.977029,?,19.068324,1.545448,?,843000000,200000000,?,?,67.77,88882967741.935504,2540,?,81.32207,38.6,81,?,?,?,69,?,?,0.995486,31321453,1.604262,17546277.9706
Monaco,?,?,?,?,?,?,?,?,-0.000016,?,23.641407,?,?,?,?,?,100,6581080163.11355,185730,?,?,4.3,100,?,?,?,100,?,?,0.116096,35336,0.116096,35336
Moldova,9.189843,3202.6,11.771971,318.684345,882.205211,4774.434,1.337336,483.094144,?,?,1.375224,13000000,101000000,60000000,?,3.5,85.8,6054806100.84681,1500,101.387,91.37655,20.2,90,?,?,?,79,?,1.86,-0.190205,3570107,-0.858466,1490876.6832
Madagascar,2.178969,2697,12.446966,?,?,1910.507,0.097743,102.872858,?,8.979171,2.899654,?,102150000,?,?,3.6,?,9394736595.64505,400,96.519,71.24424,68.3,41,?,?,3735,11,?,?,2.93787,19546282,4.096315,5770062.4464
Maldives,?,2333.3,10.695933,?,?,920.417,2.991942,580.77149,?,?,?,?,0,?,?,3.5,?,1260234375,3670,?,112.91121,18.8,91,?,?,?,98,?,?,1.339416,307632,4.888176,116469.4752
Mexico,5.454704,3452.5,2.398827,126.576826,1636.928249,475833.587,4.301237,332.596669,?,34.922248,11.116686,562000000,3872100000,905080000,?,?,35.28,1096176334977.079936,9660,101.509,104.08986,18.6,94,?,?,3,85,?,1.79,1.279452,110627158,1.66881,85404165.976
'Marshall Islands',?,?,3.618421,?,?,99.009,1.872334,?,?,?,3.077416,?,?,?,?,?,?,152000000,3530,103.166,101.2605,28.3,94,2.53,0.559,?,73,?,?,0.745968,52880,1.253726,37587.104
'Middle income',?,3292.274985,3.693449,226.824664,1258.779779,16603810.259596,3.451785,622.946986,?,17.826356,12.473492,53205230000,71910550000,25243340000,3228613620,?,45,1.67950495912337E13,3149.118924,96.749,92.032575,54.333829,87.840061,?,?,2573.568976,56.448622,?,?,1.10476,4810209722.27663,2.243061,2281842073.18163
Macedonia,?,3536.8,5.968599,167.02189,1467.467372,11815.074,5.756363,655.168702,?,?,4.846037,?,131600000,295000000,?,?,56.54,9834028812.98014,4180,98.311,91.81624,12.3,100,?,?,?,89,?,0.29,0.224463,2052524,0.974655,1373138.556
Mali,?,1397.6,1.506942,?,?,594.054,0.041083,44.197191,?,10.78137,2.433978,?,67000000,?,?,3.4,?,8738080882.51714,520,77.617,56.76499,184.8,56,0.3,0.049,25366,36,?,?,3.084458,14459990,4.839989,4653224.782
Malta,22.222222,4489.4,9.906915,87.704841,1986.940163,2559.566,6.213293,274.258819,-0.060779,?,17.236174,?,?,?,?,?,87.53,8413230936.25171,18460,98.945,100.47374,6.3,100,?,?,?,100,?,?,0.706458,411950,0.940128,388304.07
Myanmar,?,3898.4,?,?,330.989899,12775.828,0.270386,?,?,10.912871,6.303755,?,?,?,?,?,?,?,?,?,99.05288,70.2,71,0.8,0.457,7943,81,?,?,0.710426,47250315,2.757009,15394152.627
'Middle East & North Africa',?,2016.1652,3.156545,216.41697,1388.747493,1230256.498,3.84419,604.580395,?,19.978348,4.025095,?,3941800000,?,?,?,74.32,1118979559710.429952,3365.822653,93.15,90.081516,36.002181,87.186289,?,?,?,84.159218,?,?,1.759493,320030113.074644,2.242906,184005076.673286
Montenegro,?,3334.5,21.249559,?,?,1950.844,3.100589,293.714675,?,?,13.254242,?,55500000,?,?,?,?,4519731946.68229,6370,?,?,8.8,98,?,?,?,92,?,0.09,0.194568,629185,-0.368814,378643.533
Mongolia,?,1382.8,15.021561,325.750559,1160.239238,10894.657,4.08426,1146.703102,?,?,13.387541,?,0,?,?,3.3,?,5623236707.52472,1770,?,93.31725,36.1,76,3.5,2.763,?,50,?,?,1.623813,2667474,1.904023,1525261.6332
'Northern Mariana Islands',?,?,?,?,?,?,?,?,?,?,1.11557,?,?,?,?,?,?,?,?,?,?,?,98,?,?,?,?,?,?,-2.584831,62707,-2.475001,57126.077
Mozambique,?,845.7,5.981236,542.017494,420.391396,2313.877,0.103608,133.584058,?,6.826109,15.827274,?,23000000,0,?,3.3,20.78,9891264915.12346,380,86.57,59.24422,144.1,47,?,?,32555,17,?,59.58,2.363155,22332900,4.503154,8227440.36
Mauritania,?,768.6,9.42983,?,?,1998.515,0.606483,343.581114,?,?,0.536363,?,40000000,?,?,3,?,3588611731.80747,960,?,64.23913,112.4,49,?,?,17325,26,16.7,?,2.538026,3295254,3.027025,1351054.14
Mauritius,21.428571,7894.7,3.917885,?,?,3953.026,3.11543,269.552449,?,?,4.483446,?,13000000,?,0,?,98.03,9641036888.44751,6890,100.465,90.13782,15.4,99,?,?,?,91,?,?,0.645335,1268854,0.786678,539009.1792
Malawi,0.529971,1598.6,4.173342,?,?,1228.445,0.087714,120.060211,?,?,15.017252,?,57200000,?,?,3.4,?,4074143554.30153,280,99.373,57.91126,104.7,80,0.28,0.019,33773,56,?,?,3.013211,14005113,5.708792,2632961.244
Malaysia,?,3602.1,3.325051,205.359817,2655.20714,208267.265,7.572802,585.697906,?,9.028348,17.882841,0,882440000,425000000,0,?,?,221828443113.772,7150,102.71,97.33081,7,100,2.73,0.941,75,96,?,?,1.65298,27502008,2.969165,19350412.8288
Mayotte,?,?,?,?,?,?,?,?,?,?,2.168969,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.1152,191805,?,?
Namibia,?,494.9,4.560917,144.424868,836.263226,3967.694,1.803151,311.40901,?,?,14.455523,?,0,?,?,?,?,8967523024.72128,4120,?,80.79235,46.8,92,?,?,4589,33,?,?,1.901142,2200422,3.488043,810635.4648
'New Caledonia',?,3626.1,?,?,?,3149.953,12.768095,?,?,?,5.537186,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.760404,246705,2.317681,159815.499
Niger,?,488.9,6.339527,?,?,850.744,0.058875,90.283905,?,6.662627,6.835145,?,54700000,?,?,3.2,20.65,5369911346.32992,330,73.941,37.87114,155.9,48,0.14,0.019,37958,9,?,?,3.552641,14450007,4.03749,2390031.1578
Nigeria,?,1598.4,3.957459,378.195893,735.88315,95756.371,0.635555,326.633819,?,14.725425,12.844871,?,2995000000,382000000,?,2.9,?,207117912034.147008,1170,?,?,151,58,1.61,0.395,38259,32,26.7,?,2.496123,150665730,3.996151,72861947.028
Nicaragua,?,1811,9.825426,216.876663,540.806735,4330.727,0.768462,308.171981,?,?,36.722837,0,156000000,?,?,3.4,?,6372242896.55547,1050,102.494,74.54399,29.5,85,?,?,26,52,?,?,1.284445,5635577,1.779146,3197626.3898
Niue,?,?,?,?,?,3.667,2.358199,?,?,?,22.22235,?,?,?,?,?,?,?,?,?,?,24.2,100,?,?,?,100,?,?,-2.72773,1555,?,?
Netherlands,?,8331.9,1.034087,126.843409,4837.166893,173749.794,10.565128,277.045815,2.668034,12.432218,12.364565,?,?,?,?,?,?,873367268465.961088,49000,98.195,?,4.7,100,0.15,?,?,100,?,?,0.389292,16445593,1.051465,13455784.1926
Norway,?,4488,1.683377,128.700892,6249.367897,49992.211,10.484477,215.919693,-34.303191,?,14.420241,?,?,?,?,?,?,446241134751.772992,84850,99.007,97.57057,3.6,100,14.76,4.076,?,100,?,?,1.246333,4768212,1.323802,3694410.6576
Nepal,27.743468,2361.1,0.007915,325.232625,332.0693,3542.322,0.122549,120.025925,?,?,16.996697,?,0,?,?,3,?,12572606352.8817,400,?,?,55,88,?,?,103,31,?,?,1.855945,28905358,4.679662,4983283.7192
Nauru,?,?,?,?,?,143.013,14.048428,?,?,?,?,?,?,?,?,?,?,?,?,111.964,?,40,90,4.93,0.714,?,50,?,?,0.255729,10180,?,?
'New Zealand',?,7379.7,4.346775,158.581452,4042.530863,33094.675,7.752507,304.117341,-29.360136,30.75968,25.847185,?,?,?,?,?,65.89,117816546666.667008,27320,103.379,?,6.2,100,?,?,?,?,?,?,0.955616,4268900,1.094345,3695159.84
Oman,?,3341.4,4.873755,252.997873,6235.396932,45749.492,17.349311,703.938965,?,?,10.676743,?,?,?,?,?,43.46,60566970579.2556,18750,?,?,10.9,88,4.11,1.901,?,?,?,?,2.915705,2636963,2.971571,1888592.9006
Pakistan,72.792998,2653.7,3.318045,213.39059,494.354537,163177.833,0.974532,420.661561,?,17.876348,10.293806,1084400000,2255500000,303000000,?,3,?,163891676021.597984,940,80.208,60.34669,89.6,90,?,?,881,45,?,?,1.805877,167442258,2.97418,60547120.4928
Panama,?,2735,9.548031,70.454126,822.579097,6912.295,2.029156,173.797807,?,38.559754,18.676093,19700000,878000000,?,?,?,38.14,23001600000,6230,101.087,101.85214,21.2,93,?,?,35,69,?,?,1.652033,3406487,2.750946,2493548.484
Peru,?,3830.6,5.459314,66.335372,528.51577,40535.018,1.424113,178.744117,?,30.195109,13.621395,328200000,842400000,439000000,?,?,?,126822739599.822992,4070,99.38,100.96242,22.4,82,?,?,478,68,?,?,1.049853,28463338,1.190007,20322823.332
Philippines,?,3334.3,0.889388,129.851131,439.214698,83156.559,0.922188,272.639133,?,14.099418,10.850545,1820000000,1208600000,315300000,?,?,?,173602533345.578016,1770,101.685,93.67477,31.3,91,?,?,96,76,?,?,1.700588,90173139,2.846999,58540401.8388
Palau,?,?,1.033689,?,?,212.686,10.514435,827.491192,?,?,1.97374,?,?,?,?,?,?,166394363.535,6700,?,?,20.2,?,?,?,?,?,?,?,0.545285,20228,1.94706,16275.4488
